期号,红球1,红球2,红球3,红球4,红球5,红球6,蓝球,奖池奖金,一等奖注数,一等奖奖金,二等奖注数,二等奖奖金,总投注额,开奖日期
26005,1,20,22,27,30,33,10,2821524165,4,10000000,66,400264,387903486,2026/1/11
26004,3,7,8,9,18,32,10,2782271788,4,8704419,128,144703,361167416,2026/1/8
26003,5,6,9,21,28,30,16,2761523177,3,10000000,130,190247,352267432,2026/1/6
26002,1,5,7,18,30,32,2,2717326577,12,6797096,119,226524,377330734,2026/1/4
26001,2,6,11,12,13,33,15,2718022399,4,9520395,154,146766,348080190,2026/1/1
25151,8,9,14,22,28,30,4,2688298050,6,7732391,125,163943,369383528,2025/12/30
25150,6,13,17,19,24,31,8,2673213583,7,7756937,208,115976,388447078,2025/12/28
25149,1,2,4,6,22,30,10,2655142533,13,6418616,130,177327,355328424,2025/12/25
25148,3,4,9,10,15,22,16,2669426999,8,7480485,139,178452,353582370,2025/12/23
25147,1,3,5,8,22,33,8,2654856315,21,5719540,118,160067,392695744,2025/12/21
25146,5,7,12,24,26,28,2,2718302859,9,7076977,192,121697,365633358,2025/12/18
25145,11,12,15,18,25,32,14,2711897665,15,6220919,89,257216,356306424,2025/12/16
25144,1,8,15,20,26,33,13,2736534730,18,6211544,180,151443,379272340,2025/12/14
25143,2,9,12,13,15,24,3,2766563293,7,8038443,81,328226,357498010,2025/12/11
25142,2,13,15,23,27,31,16,2743073255,3,10000000,79,317297,353205678,2025/12/9
25141,2,4,5,10,12,13,6,2697873796,10,7082448,112,232416,390055596,2025/12/7
25140,1,3,4,12,18,24,5,2690606470,4,9980899,126,197654,362437084,2025/12/4
25139,2,5,17,22,30,33,6,2655816573,3,10000000,142,154433,358264332,2025/12/2
25138,10,13,14,23,24,27,15,2620027948,2,10000000,78,326226,396317254,2025/11/30
25137,2,8,11,23,27,29,5,2563690940,12,6227322,114,161489,364942202,2025/11/27
25136,8,10,14,23,28,32,12,2583189299,43,5467124,101,248593,361034006,2025/11/25
25135,1,2,5,9,25,32,10,2742951835,7,7811499,104,236544,400247838,2025/11/23
25134,3,5,9,13,26,29,12,2723830474,12,6386866,123,169130,374640566,2025/11/20
25133,5,14,17,19,20,33,7,2738063876,21,5571098,148,101292,363914948,2025/11/18
25132,4,8,10,21,23,32,11,2810082951,8,7322334,135,172024,409235610,2025/11/16
25131,3,13,14,18,24,31,3,2798991596,8,7835944,98,289382,385122072,2025/11/13
25130,1,5,8,14,19,23,6,2776600809,14,5638811,183,61088,377466594,2025/11/11
25129,3,4,7,13,20,30,3,2822006563,16,6390891,194,143390,403899176,2025/11/9
25128,2,10,18,19,24,27,1,2840807340,7,6365206,142,84123,371066844,2025/11/6
25127,3,9,15,17,19,28,3,2849527123,8,6934963,128,151169,360915142,2025/11/4
25126,2,12,13,16,19,25,10,2846957929,7,8140985,100,274836,399441700,2025/11/2
25125,3,9,12,13,26,32,9,2821493961,17,5742924,248,63657,358732158,2025/10/30
25124,1,2,18,19,21,33,13,2871762236,14,6708770,154,194178,354991248,2025/10/28
25123,7,9,23,24,25,26,10,2875974569,11,6848170,166,153086,386747886,2025/10/26
25122,16,18,19,20,25,31,13,2875067397,6,8503343,151,174007,363694232,2025/10/23
25121,6,8,10,25,29,30,8,2847262236,13,5876512,174,81858,354466956,2025/10/21
