period,red1,red2,red3,red4,red5,red6,blue,jackpot,first_prize_count,first_prize_amount,second_prize_count,second_prize_amount,total_bet_amount,draw_date
11071,1,2,15,22,28,30,2,475028862,3,0,57,0,0,2011-06-21
11072,1,6,10,11,18,27,12,499808730,6,0,107,0,0,2011-06-23
11073,3,4,5,12,17,21,14,523214664,7,0,127,0,0,2011-06-26
11074,2,21,26,28,29,32,1,544684626,6,0,29,0,0,2011-06-28
11075,7,9,10,12,31,32,13,588128854,2,0,64,0,0,2011-06-30
11076,6,19,21,26,32,33,13,653956218,1,0,96,0,0,2011-07-03
11077,1,7,8,15,26,29,10,650114820,10,0,131,0,0,2011-07-05
11078,3,5,13,20,22,29,9,624766272,13,0,101,0,0,2011-07-07
11079,3,14,15,16,24,29,5,649417535,5,0,81,0,0,2011-07-10
11080,2,7,9,25,31,32,9,650897000,10,0,77,0,0,2011-07-12
11081,6,14,19,23,25,32,12,675559532,4,0,128,0,0,2011-07-14
11082,7,16,17,20,25,26,4,642174720,16,0,179,0,0,2011-07-17
11083,7,16,18,24,28,29,6,650346305,7,0,95,0,0,2011-07-19
11084,9,10,12,16,18,32,15,674781990,5,0,68,0,0,2011-07-21
11085,3,6,11,21,24,31,10,667439560,10,0,221,0,0,2011-07-24
11086,6,7,9,12,17,24,9,142227111,113,0,110,0,0,2011-07-26
11087,2,3,4,5,18,28,1,136827640,10,0,119,0,0,2011-07-28
11088,3,9,17,20,21,29,4,142697808,8,0,154,0,0,2011-07-31
11089,1,2,11,24,29,30,12,124360665,11,0,96,0,0,2011-08-02
11090,2,5,14,18,21,25,16,167944280,2,0,76,0,0,2011-08-04
11091,9,15,21,23,28,30,3,192643284,4,0,81,0,0,2011-08-07
11092,5,10,17,26,31,32,4,220195756,4,0,107,0,0,2011-08-09
11093,4,7,11,13,23,30,9,168782368,16,0,112,0,0,2011-08-11
11094,9,11,12,17,18,19,5,133004802,14,0,124,0,0,2011-08-14
11095,3,7,8,10,23,24,5,74232601,19,0,126,0,0,2011-08-16
11096,1,4,7,13,14,19,15,116162472,4,0,106,0,0,2011-08-18
11097,9,17,19,20,21,26,16,70941649,19,0,108,0,0,2011-08-21
11098,3,7,20,21,22,32,5,123500432,2,0,51,0,0,2011-08-23
